human_ratings_template,,,,
source_sentence,model,variant,translation,human_rating
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4,v2,"L'ufficio di questa arte sembra essere quello di dire appositamente per far credere, finché l'obiettivo è far credere per dire.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4,v2,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare.,1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4,v2,"Ma chi spererebbe che, anche se questi non vogliono ancora credere in Cristo, già lo vedono con noi, e perché non possono negarlo, stridono con i denti.",5
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4,v2,I vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4,v2,"Perché quel che ora per le sue grandi virtù è feroce e onorevole, egli infligge ogni male afflitto e tormentato di impietà verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4,v2,Gli uomini spesso si fermano nella bugia per incontrare la verità.,4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4,v3,"Quella guerra ben fatta l' opera perché, e dall'altra parte, Aiace era un cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno.

Traduzione in italiano antico (1300) in italiano moderno:

Quella guerra ben fatta l' opera perché, e dall'altra parte, Aiace era un cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4,v3,"Crudele, e di tutte le colpe, prende vendetta, come dice la legge, e a nessun cavaliere perdona chi pecchi.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4,v3,"Non d' altra forza d' animo fu ornato Ponzio Aufidio, cavaliere romano.",4
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4,v3,"Se questo piaccia a tutti e se 'l tempo abbia bisogno di Pompeo come cavaliere e non come compagno, non restarò più a ritirare i destini.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4,v3,"L'ufficio di questa arte pare che sia detto appositamente per far credere, finché l'obiettivo è far credere per dire.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4,v3,Ecco e venti forti portano nebbie; e potresti credere che tutto il cielo cadesse nel mare.,3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4,v3,"Ma chi spererebbe che ciò che anche questi che non vogliono credere ancora in Cristo, già lo vedono con noi, e perché non possono negarlo, stridono con i denti.",4
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4,v3,I vendite dei morti e le pressioni dei vivi fecero la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4,v3,"Perché quel che ora per le sue grandi virtù è feroce e onorevole, egli infligge ogni male afflitto e tormentato di impietà al mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4,v3,Gli uomini spesso a stare fermi nella bugia incontrano la verità.,5
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4_fewshot,v0,"quella guerra fu ben combattuta, perché etc. All'altro lato, Aiace era un cavaliere franco e coraggioso nella battaglia, in modo caratteristico, ma non era pieno di grande saggezza",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4_fewshot,v0,"crudele, e li prende tutte le colpe, vendetta come dice la legge, ed a nessuno cavaliere che ha commesso un peccato la perdona.",1
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4_fewshot,v0,"Non era ornato da qualunque forza d'animo Ponzio Aufidio, cavaliere romano.",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4_fewshot,v0,"Se tutti lo trovano piacevole e se il tempo ha bisogno di Pompeo per cavaliero piuttosto che per compagno, non riterrò più i destini.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4_fewshot,v0,"L'obiettivo di questa arte è che sia dirmi in modo preciso per far credere, la fine è far credere per la mia parola.",1
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4_fewshot,v0,"E proprio, gigantesche nuvole sbocciano le nebbie; potresti credere che tutto il cielo cadesse nel mare",2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4_fewshot,v0,"Ma chi potrebbe sperare in ciò, anche quelli che non vogliono ancora credere a Cristo, poiché lo vedono con noi, e non possono negarlo, stridono col colletto.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4_fewshot,v0,Le vendite dei morti e le pressioni dei vivi fecero la frode di uno feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4_fewshot,v0,"Per farvi notare, cheate, che per le sue grandi virtù attuali è feroce e onorevole, soffrite ogni male afflitto e tormentato per la mia infamia.",1
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4_fewshot,v0,Molti uomini affrontano la verità solo dopo essersi fermati a mentire.,4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4_fewshot,v1,"quella guerra l'operò bene perché etc. E dall'altra parte, Aiace era un cavaliere franco e prode in battaglia, di gran forma, ma non aveva grande cervello.",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4_fewshot,v1,"crudele, e per tutte le colpe, prende vendetta come dice la legge, ed a nessun cavaliere ne perdona che peca.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4_fewshot,v1,"Non altro fu la forza d'animo di Ponzio Aufidiano, cavaliere romano.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4_fewshot,v1,"Se questo piaccia a tutti e se 'l tempo ha bisogno di Pompeo come cavaliere e non come compagno, non lo ritirerò mai.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4_fewshot,v1,"L'obiettivo di questa arte è dire le cose esattamente per far credere, ma la fine è far credere per quello che dici.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4_fewshot,v1,"Ehi, nebbie dense come una pioggia continuano a cadere; potresti credere che tutto il cielo cadesse nel mare",2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4_fewshot,v1,"Ma chi potrebbe sperare in ciò che, per questo, anche coloro che non vogliono ancora credere in Cristo, già lo vediamo con noi, e perché non possono negarlo, stridono con la bocca aperta.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4_fewshot,v1,I truffe dei morti e le pressioni dei vivi portarono a una frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4_fewshot,v1,"Perché, chi ora per le sue grandi virtù è feroce e onorevole, egli infligge ogni male afflitto e tormentato dell'imperizia verso mio padre.",1
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4_fewshot,v1,"Gli uomini spesso si fermano a dire la bugia, ma confrontandosi con la verità.",2
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4_fewshot,v2,"quella guerra fu ben combattuta perché ecc. E dall'altra parte, Aiace era un cavaliere francese e abile al combattimento, in grande misura, ma non aveva molta saggezza.",3
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4_fewshot,v2,"crudeli, e di tutte le colpe, prende vendetta, come dice la legge, e a nessun cavaliere perdona i peccati.",4
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4_fewshot,v2,"Non aveva altra forza d'animo, Ponzio Aufidiano, un cavaliere romano.",2
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4_fewshot,v2,"Se a tutti piace questo e se il tempo ha bisogno di Pompeo come cavaliere e non come compagno, non prenderò più in giro i miei destini.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4_fewshot,v2,"Il compito di questa arte sembra essere quello di dire appositamente per far credere, con lo scopo di far credere per dire.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4_fewshot,v2,Ecco e tanti tornbimbi di nebbia; potresti credere che tutto il cielo cadesse nel mare.,1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4_fewshot,v2,"Ma chi spererebbe di ciò che, nonostante ciò, questi che non vogliono ancora credere in Gesù Cristo, vedo già con noi, e perché non possono negare, stridono con i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4_fewshot,v2,I furti dei morti e le pressioni sulle persone vivevano la frode di un feroce re.,1
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4_fewshot,v2,"Accettando ciò che questo uomo, che ora per le sue grandi virtù è feroce e onorevole, lo affriderà di ogni male sofferto e tormentato dalla sua impietà contro mio padre.",1
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4_fewshot,v2,"Molti uomini spesso credono di stare fermi nella falsità, ma alla fine incontrano la verità.",4
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",phi-4_fewshot,v3,"quella guerra fu magnifica perché, etc. E dall'altra parte, Aiace era un cavaliere franco e coraggioso, di grande bellezza, ma non era pieno di grande intelletto",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",phi-4_fewshot,v3,"crudele, e di tutte le colpe prende vendetta come dice la legge, e nessun cavaliere ne perdona a chi peca.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",phi-4_fewshot,v3,"Non d' altra forza di anima fece Ponzio Aufidio, un cavaliere romano.",1
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",phi-4_fewshot,v3,"Se questo piacerebbe a tutti e se il tempo avesse bisogno di Pompeo come cavaliere e non come compagno, non riterrei più i destini.",3
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",phi-4_fewshot,v3,"Il compito di questa arte sembra che sia fare affermare esattamente per far credere, con l'obiettivo di far credere per esprimerlo.",2
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,phi-4_fewshot,v3,"Ehi, grandi venti portano nebbia; e potresti credere che tutto il cielo cadesse nel mare",3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",phi-4_fewshot,v3,"Ma, chi potrebbe sperare che questi che non vogliono ancora credere in Cristo, vediamo con noi già, e perché non possono negare, si lamentano con i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,phi-4_fewshot,v3,I venditori di morte e le pressioni dei vivi fecero la frode di un feroce re.,2
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",phi-4_fewshot,v3,"Perché lui, che ora per le sue grandi virtù è feroce e onorevole, venga colpito e tormentato dal male per l'ira del mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,phi-4_fewshot,v3,"Molti uomini non si fermano a dire la verità, ma trovano la verità quando si rivelano ingannati.",2
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",nllb,,"E d'altra parte Aiaces era un cavaliere franco e prodigioso alle armi, di grande guisa, ma non era pieno di grande senno",4
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",nllb,,"crudele, e per ogni colpa vendicatevi, come dice la legge, e a nessun cavaliere perdonate i peccati.",2
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",nllb,,"Non per altra forza d'animo fu decorato Ponzio Aufidiano, cavaliere romano.",5
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",nllb,,"Se a tutti piace e se il tempo ha bisogno di Pompei come cavaliere e non come compagno, non ritengo più i destini.",4
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",nllb,,"L'obiettivo di questa arte sembra essere quello di dire in modo insidioso per far credere, il fine è far credere per dirlo.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,nllb,,"Ecco, i venti venti larghi scaricano nubi risolute, e potresti credere che il cielo intero cadesse nel mare.",3
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",nllb,,"Ma chi spera che io possa avere questa speranza, questi che non credono ancora in Cristo, vedono già con noi, e non potendo negarlo, grideranno i denti.",2
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,nllb,,La vendita dei morti e la presa dei vivi fecero la frode di un re feroce.,5
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",nllb,,"Perché lui, che ora per le sue grandi regalità è feroce e onorevole, lui di ogni male afflitto e tormentato dalla impietà verso mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,nllb,,Gli uomini spesso si fissano nella menzogna che incontra la verità.,3
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",madlad,,"Et dall' altra parte Aiaces era un cavaliere franco e prode all' arme, di",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",madlad,,"E di tutte le colpe pigli vendetta, come dice la legge, ed a neuno",1
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",madlad,,"Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",madlad,,Se questo piace a tutti e se 'l tempo ha bisogno d'avere Pompeio per caval,1
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",madlad,,"Officio di questa arte sembra che sia dire apposta per fare credere, fine è far crede",1
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,madlad,,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e,1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",madlad,,"Ma chi sperarebbe che questi che non vogliono ancora credere in Cristo, già veggiono",1
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,madlad,,I vendimenti de' morti et le presure de' vivi fece la frode d',1
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",madlad,,"Acciocché colui, il quale ora per le sue gran reità è feroce e",1
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,madlad,,Gli uomini spesso a stare fermi nella bugia incontra la verità.,2
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3,v0,"Quella guerra ben fatta l'opera perché etc. E dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3,v0,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",1
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3,v0,"Non d' altra forza d' animo fu ornato Ponzio Aufidiano, romano cavaliere.",1
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3,v0,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",1
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3,v0,"L’officio di questa arte sembra che sia dire appostatamente per far credere, fine è far credere per lo dire.",3
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3,v0,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,1
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3,v0,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",1
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3,v0,I vendimenti dei morti e le presure dei vivi fecero la frode di un feroce re.,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3,v0,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",2
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3,v0,Gli uomini spesso si fermano nella bugia per incontrare la verità.,3
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3,v1,"Quella guerra ben fatta l'opera perché etc. E dall'altra parte Aiaces era uno cavaliere francese e prode all'arme, di gran guisa, ma non era pieno di grande senno",2
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3,v1,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",1
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3,v1,"Non di un'altra forza d' animo fu ornato Ponzio Aufidiano, cavaliere romano.",5
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3,v1,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",1
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3,v1,"L'ufficio di questa arte sembra essere dire espressamente per fare credere, e il fine è far credere per lo dire.",4
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,qwen3,v1,Ecco i venti di nebbia che si radunano di nebbi determinate; e potresti credere che il cielo si sciolga nel mare.,2
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",qwen3,v1,"Tuttavia chi spererebbe quello che questi non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",4
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,qwen3,v1,Le vendite dei morti e le pressioni dei vivi fecero la frode di un re fiero.,3
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",qwen3,v1,"Perché quel che ora per le sue grandi colpe è fiero e onorevole, egli è afflitto da ogni male e tormentato dall'ingiustizia verso il mio padre.",4
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,qwen3,v1,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,1
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",qwen3,v2,"Quella guerra ben fatta l'opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",1
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",qwen3,v2,"Cruel, e prenda vendetta su tutte le colpe, come dice la legge, e a nessun cavaliere perdoni che commetta peccato.",3
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",qwen3,v2,"Non un'altra forza d' animo fu ornato Ponzio Aufidiano, cavaliere romano.",3
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",qwen3,v2,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",2
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",qwen3,v2,"L'officio di questa arte sembra essere dire in un modo speciale per far credere, e l'fine è far credere per lo dire.",3
